name,Preprocess,Extraction,Reduction,Clustering,v-measure,completeness,homogeneity,ARI,Time (s)
dl_USE5_TruncatedSVD_kmeans,dl,USE5,TruncatedSVD,kmeans,0.2692,0.2699,0.2685,0.1688,145.7
dl_USE5_TruncatedSVD_MBKMeans,dl,USE5,TruncatedSVD,MBKMeans,0.2516,0.2538,0.2493,0.1849,145.6
dl_USE5_TruncatedSVD_AggloClust,dl,USE5,TruncatedSVD,AggloClust,0.2524,0.2552,0.2497,0.1806,145.6
dl_USE5_TruncatedSVD_BIRCH,dl,USE5,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,145.6
dl_USE5_TruncatedSVD_GausMix,dl,USE5,TruncatedSVD,GausMix,0.2572,0.2644,0.2504,0.179,145.6
dl_USE5_TSNE_kmeans,dl,USE5,TSNE,kmeans,0.5795,0.5829,0.5761,0.4662,153.4
dl_USE5_TSNE_MBKMeans,dl,USE5,TSNE,MBKMeans,0.5746,0.5782,0.5709,0.4607,156.5
dl_USE5_TSNE_AggloClust,dl,USE5,TSNE,AggloClust,0.6221,0.6266,0.6177,0.5321,171.3
dl_USE5_TSNE_BIRCH,dl,USE5,TSNE,BIRCH,0.6253,0.631,0.6197,0.5271,173.4
dl_USE5_TSNE_GausMix,dl,USE5,TSNE,GausMix,0.5519,0.5592,0.5448,0.41,152.9
dl_USE4_TruncatedSVD_kmeans,dl,USE4,TruncatedSVD,kmeans,0.1594,0.162,0.157,0.0967,3.0
dl_USE4_TruncatedSVD_MBKMeans,dl,USE4,TruncatedSVD,MBKMeans,0.1495,0.1546,0.1448,0.0988,2.0
dl_USE4_TruncatedSVD_AggloClust,dl,USE4,TruncatedSVD,AggloClust,0.1323,0.1383,0.1267,0.0906,2.0
dl_USE4_TruncatedSVD_BIRCH,dl,USE4,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,2.0
dl_USE4_TruncatedSVD_GausMix,dl,USE4,TruncatedSVD,GausMix,0.1467,0.1505,0.1431,0.0848,2.1
dl_USE4_TSNE_kmeans,dl,USE4,TSNE,kmeans,0.5548,0.558,0.5517,0.4392,9.5
dl_USE4_TSNE_MBKMeans,dl,USE4,TSNE,MBKMeans,0.5578,0.5611,0.5545,0.4346,9.3
dl_USE4_TSNE_AggloClust,dl,USE4,TSNE,AggloClust,0.5528,0.5663,0.5398,0.397,11.8
dl_USE4_TSNE_BIRCH,dl,USE4,TSNE,BIRCH,0.5527,0.5617,0.5441,0.4175,20.6
dl_USE4_TSNE_GausMix,dl,USE4,TSNE,GausMix,0.5199,0.5258,0.5142,0.3898,32.4
bow_CV_TruncatedSVD_kmeans,bow,CV,TruncatedSVD,kmeans,0.1727,0.2522,0.1313,0.0418,1.9
bow_CV_TruncatedSVD_MBKMeans,bow,CV,TruncatedSVD,MBKMeans,0.1714,0.2521,0.1298,0.0431,2.1
bow_CV_TruncatedSVD_AggloClust,bow,CV,TruncatedSVD,AggloClust,0.175,0.2352,0.1393,0.0562,1.6
bow_CV_TruncatedSVD_BIRCH,bow,CV,TruncatedSVD,BIRCH,0.1353,0.2627,0.0911,0.0167,1.6
bow_CV_TruncatedSVD_GausMix,bow,CV,TruncatedSVD,GausMix,0.1552,0.1992,0.1271,0.054,1.7
bow_CV_TSNE_kmeans,bow,CV,TSNE,kmeans,0.5103,0.5153,0.5054,0.3962,21.3
bow_CV_TSNE_MBKMeans,bow,CV,TSNE,MBKMeans,0.5178,0.528,0.508,0.3976,20.8
bow_CV_TSNE_AggloClust,bow,CV,TSNE,AggloClust,0.5187,0.5278,0.5099,0.4003,12.2
bow_CV_TSNE_BIRCH,bow,CV,TSNE,BIRCH,0.5416,0.5508,0.5328,0.4229,10.0
bow_CV_TSNE_GausMix,bow,CV,TSNE,GausMix,0.5009,0.5082,0.4937,0.388,11.0
bow_lem_CV_TruncatedSVD_kmeans,bow_lem,CV,TruncatedSVD,kmeans,0.1505,0.2291,0.1121,0.0375,1.4
bow_lem_CV_TruncatedSVD_MBKMeans,bow_lem,CV,TruncatedSVD,MBKMeans,0.1498,0.1876,0.1247,0.0539,1.1
bow_lem_CV_TruncatedSVD_AggloClust,bow_lem,CV,TruncatedSVD,AggloClust,0.1437,0.1855,0.1173,0.0424,0.4
bow_lem_CV_TruncatedSVD_BIRCH,bow_lem,CV,TruncatedSVD,BIRCH,0.1194,0.2988,0.0746,0.0097,0.3
bow_lem_CV_TruncatedSVD_GausMix,bow_lem,CV,TruncatedSVD,GausMix,0.1414,0.1887,0.113,0.0544,0.5
bow_lem_CV_TSNE_kmeans,bow_lem,CV,TSNE,kmeans,0.5572,0.562,0.5525,0.4789,8.5
bow_lem_CV_TSNE_MBKMeans,bow_lem,CV,TSNE,MBKMeans,0.5036,0.5081,0.4991,0.4025,8.6
bow_lem_CV_TSNE_AggloClust,bow_lem,CV,TSNE,AggloClust,0.4924,0.4997,0.4852,0.3957,8.4
bow_lem_CV_TSNE_BIRCH,bow_lem,CV,TSNE,BIRCH,0.5026,0.5091,0.4962,0.3968,8.5
bow_lem_CV_TSNE_GausMix,bow_lem,CV,TSNE,GausMix,0.5318,0.5433,0.5208,0.3792,8.5
dl_CV_TruncatedSVD_kmeans,dl,CV,TruncatedSVD,kmeans,0.2533,0.2781,0.2326,0.1544,0.3
